"Year","District","FullName","SentenceAdd","PCTImmig"
2001,"AK","District of Alaska",150,0.0866666666666667
2001,"ALM","Middle District of Alabama",129,0.00775193798449612
2001,"ALN","Northern District of Alabama",294,0.0272108843537415
2001,"ALS","Southern District of Alabama",230,0
2001,"ARE","Eastern District of Arkansas",192,0.015625
2001,"ARW","Western District of Arkansas",128,0.1953125
2001,"AZ","District of Arizona",2760,0.577173913043478
2001,"CAC","Central District of California",1314,0.209284627092846
2001,"CAE","Eastern District of California",732,0.346994535519126
2001,"CAN","Northern District of California",605,0.332231404958678
2001,"CAS","Southern District of California",3737,0.431629649451432
2001,"CO","District of Colorado",429,0.1002331002331
2001,"CT","District of Connecticut",198,0.0555555555555556
2001,"DC","District of Washington D.C.",216,0.0509259259259259
2001,"DE","District of Delaware",56,0.0357142857142857
2001,"FLM","Middle District of Florida",1103,0.169537624660018
2001,"FLN","Northern District of Florida",306,0.0261437908496732
2001,"FLS","Southern District of Florida",1986,0.101208459214502
2001,"GAM","Middle District of Georgia",280,0.0321428571428571
2001,"GAN","Northern District of Georgia",659,0.139605462822458
2001,"GAS","Southern District of Georgia",260,0.0307692307692308
2001,"GU","District of Guam",73,0.342465753424658
2001,"HI","District of Hawaii",264,0.0606060606060606
2001,"IAN","Northern District of Iowa",301,0.12624584717608
2001,"IAS","Southern District of Iowa",284,0.140845070422535
2001,"ID","District of Idaho",89,0.269662921348315
2001,"ILC","Central District of Illinois",271,0.0553505535055351
2001,"ILN","Northern District of Illinois",663,0.081447963800905
2001,"ILS","Southern District of Illinois",337,0.0415430267062315
2001,"INN","Northern District of Indiana",260,0.00769230769230769
2001,"INS","Southern District of Indiana",195,0.0256410256410256
2001,"KS","District of Kansas",396,0.095959595959596
2001,"KYE","Eastern District of Kentucky",457,0.0437636761487965
2001,"KYW","Western District of Kentucky",181,0.0718232044198895
2001,"LAE","Eastern District of Louisiana",352,0.0198863636363636
2001,"LAM","Middle District of Louisiana",126,0
2001,"LAW","Western District of Louisiana",224,0.00446428571428571
2001,"MA","District of Massachusetts",404,0.0866336633663366
2001,"MD","District of Maryland",525,0.0266666666666667
2001,"ME","District of Maine",173,0.0404624277456647
2001,"MIE","Eastern District of Michigan",582,0.0360824742268041
2001,"MIW","Western District of Michigan",282,0.099290780141844
2001,"MOE","Eastern District of Missouri",478,0.0271966527196653
2001,"MOW","Western District of Missouri",574,0.024390243902439
2001,"MP","District of Northern Mariana Islands",11,0
2001,"MSN","Northern District of Mississippi",126,0
2001,"MSS","Southern District of Mississippi",360,0.0166666666666667
2001,"MT","District of Montana",234,0.0769230769230769
2001,"NCE","Eastern District of North Carolina",404,0.0272277227722772
2001,"NCM","Middle District of North Carolina",425,0.105882352941176
2001,"NCW","Western District of North Carolina",394,0.0177664974619289
2001,"ND","District of North Dakota",120,0.133333333333333
2001,"NE","District of Nebraska",424,0.129716981132075
2001,"NH","District of New Hampshire",104,0.0865384615384615
2001,"NJ","District of New Jersey",642,0.0467289719626168
2001,"NM","District of New Mexico",1231,0.380178716490658
2001,"NV","District of Nevada",424,0.273584905660377
2001,"NYE","Eastern District of New York",1049,0.0657769304099142
2001,"NYN","Northern District of New York",325,0.169230769230769
2001,"NYS","Southern District of New York",1092,0.0842490842490843
2001,"NYW","Western District of New York",307,0.0618892508143322
2001,"OHN","Northern District of Ohio",645,0.0217054263565891
2001,"OHS","Southern District of Ohio",279,0.032258064516129
2001,"OKE","Eastern District of Oklahoma",62,0
2001,"OKN","Northern District of Oklahoma",94,0.0212765957446809
2001,"OKW","Western District of Oklahoma",184,0.0271739130434783
2001,"OR","District of Oregon",580,0.355172413793103
2001,"PAE","Eastern District of Pennsylvania",748,0.0454545454545455
2001,"PAM","Middle District of Pennsylvania",322,0.0248447204968944
2001,"PAW","Western District of Pennsylvania",245,0.0163265306122449
2001,"PR","District of Puerto Rico",584,0.0821917808219178
2001,"RI","District of Rhode Island",93,0.225806451612903
2001,"SC","District of South Carolina",598,0.00836120401337793
2001,"SD","District of South Dakota",216,0.0648148148148148
2001,"TNE","Eastern District of Tennessee",446,0.0336322869955157
2001,"TNM","Middle District of Tennessee",214,0.0607476635514019
2001,"TNW","Western District of Tennessee",295,0.0440677966101695
2001,"TXE","Eastern District of Texas",497,0.0925553319919517
2001,"TXN","Northern District of Texas",969,0.128998968008256
2001,"TXS","Southern District of Texas",3296,0.359223300970874
2001,"TXW","Western District of Texas",4173,0.308411214953271
2001,"UT","District of Utah",430,0.376744186046512
2001,"VAE","Eastern District of Virginia",1124,0.0311387900355872
2001,"VAW","Western District of Virginia",330,0.0121212121212121
2001,"VI","District of Virgin Islands",71,0.366197183098592
2001,"VT","District of Vermont",70,0.0428571428571429
2001,"WAE","Eastern District of Washington",284,0.419014084507042
2001,"WAW","Western District of Washington",527,0.0683111954459203
2001,"WIE","Eastern District of Wisconsin",253,0.0197628458498024
2001,"WIW","Western District of Wisconsin",137,0.0145985401459854
2001,"WVN","Northern District of West Virginia",164,0.0121951219512195
2001,"WVS","Southern District of West Virginia",300,0.0166666666666667
2001,"WY","District of Wyoming",128,0.109375
2002,"AK","District of Alaska",123,0.0813008130081301
2002,"ALM","Middle District of Alabama",128,0
2002,"ALN","Northern District of Alabama",424,0.0188679245283019
2002,"ALS","Southern District of Alabama",258,0.0116279069767442
2002,"ARE","Eastern District of Arkansas",199,0.0351758793969849
2002,"ARW","Western District of Arkansas",117,0.247863247863248
2002,"AZ","District of Arizona",3085,0.558833063209076
2002,"CAC","Central District of California",1376,0.293604651162791
2002,"CAE","Eastern District of California",632,0.338607594936709
2002,"CAN","Northern District of California",531,0.248587570621469
2002,"CAS","Southern District of California",3466,0.413733410271206
2002,"CO","District of Colorado",457,0.146608315098468
2002,"CT","District of Connecticut",228,0.0614035087719298
2002,"DC","District of Washington D.C.",331,0.0422960725075529
2002,"DE","District of Delaware",64,0.078125
2002,"FLM","Middle District of Florida",1273,0.111547525530244
2002,"FLN","Northern District of Florida",310,0.0129032258064516
2002,"FLS","Southern District of Florida",2121,0.106553512494107
2002,"GAM","Middle District of Georgia",245,0.0448979591836735
2002,"GAN","Northern District of Georgia",712,0.110955056179775
2002,"GAS","Southern District of Georgia",241,0.029045643153527
2002,"GU","District of Guam",109,0.275229357798165
2002,"HI","District of Hawaii",295,0.0474576271186441
2002,"IAN","Northern District of Iowa",327,0.155963302752294
2002,"IAS","Southern District of Iowa",263,0.220532319391635
2002,"ID","District of Idaho",163,0.239263803680982
2002,"ILC","Central District of Illinois",315,0.0698412698412698
2002,"ILN","Northern District of Illinois",897,0.101449275362319
2002,"ILS","Southern District of Illinois",271,0.044280442804428
2002,"INN","Northern District of Indiana",367,0.00544959128065395
2002,"INS","Southern District of Indiana",206,0.058252427184466
2002,"KS","District of Kansas",426,0.103286384976526
2002,"KYE","Eastern District of Kentucky",380,0.0289473684210526
2002,"KYW","Western District of Kentucky",238,0.0210084033613445
2002,"LAE","Eastern District of Louisiana",304,0.0592105263157895
2002,"LAM","Middle District of Louisiana",87,0.0344827586206897
2002,"LAW","Western District of Louisiana",274,0.0255474452554745
2002,"MA","District of Massachusetts",493,0.103448275862069
2002,"MD","District of Maryland",454,0.0616740088105727
2002,"ME","District of Maine",182,0.0989010989010989
2002,"MIE","Eastern District of Michigan",612,0.0473856209150327
2002,"MIW","Western District of Michigan",344,0.0959302325581395
2002,"MOE","Eastern District of Missouri",543,0.0699815837937385
2002,"MOW","Western District of Missouri",564,0.0319148936170213
2002,"MP","District of Northern Mariana Islands",5,0
2002,"MSN","Northern District of Mississippi",136,0.0294117647058824
2002,"MSS","Southern District of Mississippi",295,0.0474576271186441
2002,"MT","District of Montana",273,0.0476190476190476
2002,"NCE","Eastern District of North Carolina",459,0.0479302832244009
2002,"NCM","Middle District of North Carolina",407,0.0835380835380835
2002,"NCW","Western District of North Carolina",479,0.0459290187891441
2002,"ND","District of North Dakota",123,0.16260162601626
2002,"NE","District of Nebraska",474,0.0970464135021097
2002,"NH","District of New Hampshire",98,0.0612244897959184
2002,"NJ","District of New Jersey",616,0.073051948051948
2002,"NM","District of New Mexico",1684,0.507125890736342
2002,"NV","District of Nevada",496,0.330645161290323
2002,"NYE","Eastern District of New York",1371,0.0846097738876732
2002,"NYN","Northern District of New York",281,0.181494661921708
2002,"NYS","Southern District of New York",1268,0.111198738170347
2002,"NYW","Western District of New York",322,0.111801242236025
2002,"OHN","Northern District of Ohio",691,0.0260492040520984
2002,"OHS","Southern District of Ohio",295,0.0135593220338983
2002,"OKE","Eastern District of Oklahoma",60,0
2002,"OKN","Northern District of Oklahoma",120,0.05
2002,"OKW","Western District of Oklahoma",141,0.0780141843971631
2002,"OR","District of Oregon",482,0.313278008298755
2002,"PAE","Eastern District of Pennsylvania",770,0.0701298701298701
2002,"PAM","Middle District of Pennsylvania",370,0.0540540540540541
2002,"PAW","Western District of Pennsylvania",240,0.0375
2002,"PR","District of Puerto Rico",758,0.0778364116094987
2002,"RI","District of Rhode Island",144,0.222222222222222
2002,"SC","District of South Carolina",793,0.0327868852459016
2002,"SD","District of South Dakota",226,0.0398230088495575
2002,"TNE","Eastern District of Tennessee",573,0.0645724258289703
2002,"TNM","Middle District of Tennessee",276,0.0615942028985507
2002,"TNW","Western District of Tennessee",352,0.0198863636363636
2002,"TXE","Eastern District of Texas",559,0.0715563506261181
2002,"TXN","Northern District of Texas",864,0.143518518518519
2002,"TXS","Southern District of Texas",4181,0.438411863190624
2002,"TXW","Western District of Texas",4544,0.281029929577465
2002,"UT","District of Utah",478,0.334728033472803
2002,"VAE","Eastern District of Virginia",1173,0.0571184995737425
2002,"VAW","Western District of Virginia",340,0.0264705882352941
2002,"VI","District of Virgin Islands",70,0.357142857142857
2002,"VT","District of Vermont",126,0.0634920634920635
2002,"WAE","Eastern District of Washington",266,0.368421052631579
2002,"WAW","Western District of Washington",460,0.05
2002,"WIE","Eastern District of Wisconsin",246,0.016260162601626
2002,"WIW","Western District of Wisconsin",115,0.0434782608695652
2002,"WVN","Northern District of West Virginia",240,0.00416666666666667
2002,"WVS","Southern District of West Virginia",226,0
2002,"WY","District of Wyoming",123,0.0487804878048781
2003,"AK","District of Alaska",118,0.0508474576271186
2003,"ALM","Middle District of Alabama",129,0.00775193798449612
2003,"ALN","Northern District of Alabama",410,0.0365853658536585
2003,"ALS","Southern District of Alabama",270,0
2003,"ARE","Eastern District of Arkansas",173,0.0404624277456647
2003,"ARW","Western District of Arkansas",180,0.394444444444444
2003,"AZ","District of Arizona",4195,0.564719904648391
2003,"CAC","Central District of California",1310,0.235114503816794
2003,"CAE","Eastern District of California",813,0.412054120541205
2003,"CAN","Northern District of California",524,0.244274809160305
